Zip Code,Zip Code Layer: A,Zip Code Layer: B,Zip Code Layer: C,,,,,,TOTAL Zip Codes Grouped,4623
10005,Manhattan,Lower-Manhattan,-,,,,,,,
10006,Manhattan,Lower-Manhattan,-,,,,,,,
10007,Manhattan,Lower-Manhattan,-,,,,,,,
10008,Manhattan,Lower-Manhattan,-,,,,,,,
10009,Manhattan,Lower-Manhattan,-,,,,,,,
10010,Manhattan,Lower-Manhattan,-,,,,,,,
10011,Manhattan,Lower-Manhattan,-,,,,,,,
10012,Manhattan,Lower-Manhattan,-,,,,,,,
10013,Manhattan,Lower-Manhattan,-,,,,,,,
10014,Manhattan,Lower-Manhattan,-,,,,,,,
10015,Manhattan,Lower-Manhattan,-,,,,,,,
10038,Manhattan,Lower-Manhattan,-,,,,,,,
10041,Manhattan,Lower-Manhattan,-,,,,,,,
10043,Manhattan,Lower-Manhattan,-,,,,,,,
10045,Manhattan,Lower-Manhattan,-,,,,,,,
10046,Manhattan,Lower-Manhattan,-,,,,,,,
10047,Manhattan,Lower-Manhattan,-,,,,,,,
10048,Manhattan,Lower-Manhattan,-,,,,,,,
10060,Manhattan,Lower-Manhattan,-,,,,,,,
10079,Manhattan,Lower-Manhattan,-,,,,,,,
10080,Manhattan,Lower-Manhattan,-,,,,,,,
10081,Manhattan,Lower-Manhattan,-,,,,,,,
10082,Manhattan,Lower-Manhattan,-,,,,,,,
10090,Manhattan,Lower-Manhattan,-,,,,,,,
10094,Manhattan,Lower-Manhattan,-,,,,,,,
10113,Manhattan,Lower-Manhattan,-,,,,,,,
10114,Manhattan,Lower-Manhattan,-,,,,,,,
10159,Manhattan,Lower-Manhattan,-,,,,,,,
10160,Manhattan,Lower-Manhattan,-,,,,,,,
10161,Manhattan,Lower-Manhattan,-,,,,,,,
10203,Manhattan,Lower-Manhattan,-,,,,,,,
10211,Manhattan,Lower-Manhattan,-,,,,,,,
10212,Manhattan,Lower-Manhattan,-,,,,,,,
10213,Manhattan,Lower-Manhattan,-,,,,,,,
10242,Manhattan,Lower-Manhattan,-,,,,,,,
10249,Manhattan,Lower-Manhattan,-,,,,,,,
10256,Manhattan,Lower-Manhattan,-,,,,,,,
10257,Manhattan,Lower-Manhattan,-,,,,,,,
10258,Manhattan,Lower-Manhattan,-,,,,,,,
10259,Manhattan,Lower-Manhattan,-,,,,,,,
10260,Manhattan,Lower-Manhattan,-,,,,,,,
10261,Manhattan,Lower-Manhattan,-,,,,,,,
10265,Manhattan,Lower-Manhattan,-,,,,,,,
10268,Manhattan,Lower-Manhattan,-,,,,,,,
10269,Manhattan,Lower-Manhattan,-,,,,,,,
10270,Manhattan,Lower-Manhattan,-,,,,,,,
10271,Manhattan,Lower-Manhattan,-,,,,,,,
10272,Manhattan,Lower-Manhattan,-,,,,,,,
10273,Manhattan,Lower-Manhattan,-,,,,,,,
10274,Manhattan,Lower-Manhattan,-,,,,,,,
10275,Manhattan,Lower-Manhattan,-,,,,,,,
10276,Manhattan,Lower-Manhattan,-,,,,,,,
10277,Manhattan,Lower-Manhattan,-,,,,,,,
10278,Manhattan,Lower-Manhattan,-,,,,,,,
10279,Manhattan,Lower-Manhattan,-,,,,,,,
10280,Manhattan,Lower-Manhattan,-,,,,,,,
10281,Manhattan,Lower-Manhattan,-,,,,,,,
10282,Manhattan,Lower-Manhattan,-,,,,,,,
10285,Manhattan,Lower-Manhattan,-,,,,,,,
10286,Manhattan,Lower-Manhattan,-,,,,,,,
10292,Manhattan,Lower-Manhattan,-,,,,,,,
10016,Manhattan,Middle-Manhattan,-,,,,,,,
10017,Manhattan,Middle-Manhattan,-,,,,,,,
10018,Manhattan,Middle-Manhattan,-,,,,,,,
10019,Manhattan,Middle-Manhattan,-,,,,,,,
10020,Manhattan,Middle-Manhattan,-,,,,,,,
10022,Manhattan,Middle-Manhattan,-,,,,,,,
10036,Manhattan,Middle-Manhattan,-,,,,,,,
10055,Manhattan,Middle-Manhattan,-,,,,,,,
10087,Manhattan,Middle-Manhattan,-,,,,,,,
10095,Manhattan,Middle-Manhattan,-,,,,,,,
10096,Manhattan,Middle-Manhattan,-,,,,,,,
10098,Manhattan,Middle-Manhattan,-,,,,,,,
10099,Manhattan,Middle-Manhattan,-,,,,,,,
10101,Manhattan,Middle-Manhattan,-,,,,,,,
10102,Manhattan,Middle-Manhattan,-,,,,,,,
10103,Manhattan,Middle-Manhattan,-,,,,,,,
10104,Manhattan,Middle-Manhattan,-,,,,,,,
10105,Manhattan,Middle-Manhattan,-,,,,,,,
10106,Manhattan,Middle-Manhattan,-,,,,,,,
10107,Manhattan,Middle-Manhattan,-,,,,,,,
10108,Manhattan,Middle-Manhattan,-,,,,,,,
10109,Manhattan,Middle-Manhattan,-,,,,,,,
10110,Manhattan,Middle-Manhattan,-,,,,,,,
10111,Manhattan,Middle-Manhattan,-,,,,,,,
10112,Manhattan,Middle-Manhattan,-,,,,,,,
10116,Manhattan,Middle-Manhattan,-,,,,,,,
10117,Manhattan,Middle-Manhattan,-,,,,,,,
10118,Manhattan,Middle-Manhattan,-,,,,,,,
10119,Manhattan,Middle-Manhattan,-,,,,,,,
10120,Manhattan,Middle-Manhattan,-,,,,,,,
10121,Manhattan,Middle-Manhattan,-,,,,,,,
10122,Manhattan,Middle-Manhattan,-,,,,,,,
10123,Manhattan,Middle-Manhattan,-,,,,,,,
10124,Manhattan,Middle-Manhattan,-,,,,,,,
10126,Manhattan,Middle-Manhattan,-,,,,,,,
10129,Manhattan,Middle-Manhattan,-,,,,,,,
10132,Manhattan,Middle-Manhattan,-,,,,,,,
10138,Manhattan,Middle-Manhattan,-,,,,,,,
10149,Manhattan,Middle-Manhattan,-,,,,,,,
10150,Manhattan,Middle-Manhattan,-,,,,,,,
10151,Manhattan,Middle-Manhattan,-,,,,,,,
10152,Manhattan,Middle-Manhattan,-,,,,,,,
10153,Manhattan,Middle-Manhattan,-,,,,,,,
10154,Manhattan,Middle-Manhattan,-,,,,,,,
10155,Manhattan,Middle-Manhattan,-,,,,,,,
10156,Manhattan,Middle-Manhattan,-,,,,,,,
10157,Manhattan,Middle-Manhattan,-,,,,,,,
10158,Manhattan,Middle-Manhattan,-,,,,,,,
10163,Manhattan,Middle-Manhattan,-,,,,,,,
10164,Manhattan,Middle-Manhattan,-,,,,,,,
10165,Manhattan,Middle-Manhattan,-,,,,,,,
10166,Manhattan,Middle-Manhattan,-,,,,,,,
10167,Manhattan,Middle-Manhattan,-,,,,,,,
10168,Manhattan,Middle-Manhattan,-,,,,,,,
10169,Manhattan,Middle-Manhattan,-,,,,,,,
10170,Manhattan,Middle-Manhattan,-,,,,,,,
10171,Manhattan,Middle-Manhattan,-,,,,,,,
10172,Manhattan,Middle-Manhattan,-,,,,,,,
10173,Manhattan,Middle-Manhattan,-,,,,,,,
10174,Manhattan,Middle-Manhattan,-,,,,,,,
10175,Manhattan,Middle-Manhattan,-,,,,,,,
10176,Manhattan,Middle-Manhattan,-,,,,,,,
10177,Manhattan,Middle-Manhattan,-,,,,,,,
10178,Manhattan,Middle-Manhattan,-,,,,,,,
10179,Manhattan,Middle-Manhattan,-,,,,,,,
10184,Manhattan,Middle-Manhattan,-,,,,,,,
10185,Manhattan,Middle-Manhattan,-,,,,,,,
10196,Manhattan,Middle-Manhattan,-,,,,,,,
10197,Manhattan,Middle-Manhattan,-,,,,,,,
10199,Manhattan,Middle-Manhattan,-,,,,,,,
10021,Manhattan,Upper-Manhattan,-,,,,,,,
10023,Manhattan,Upper-Manhattan,-,,,,,,,
10024,Manhattan,Upper-Manhattan,-,,,,,,,
10025,Manhattan,Upper-Manhattan,-,,,,,,,
10026,Manhattan,Upper-Manhattan,-,,,,,,,
10027,Manhattan,Upper-Manhattan,-,,,,,,,
10028,Manhattan,Upper-Manhattan,-,,,,,,,
10029,Manhattan,Upper-Manhattan,-,,,,,,,
10030,Manhattan,Upper-Manhattan,-,,,,,,,
10031,Manhattan,Upper-Manhattan,-,,,,,,,
10032,Manhattan,Upper-Manhattan,-,,,,,,,
10033,Manhattan,Upper-Manhattan,-,,,,,,,
10034,Manhattan,Upper-Manhattan,-,,,,,,,
10035,Manhattan,Upper-Manhattan,-,,,,,,,
10037,Manhattan,Upper-Manhattan,-,,,,,,,
10039,Manhattan,Upper-Manhattan,-,,,,,,,
10040,Manhattan,Upper-Manhattan,-,,,,,,,
10044,Manhattan,Upper-Manhattan,-,,,,,,,
10065,Manhattan,Upper-Manhattan,-,,,,,,,
10069,Manhattan,Upper-Manhattan,-,,,,,,,
10075,Manhattan,Upper-Manhattan,-,,,,,,,
10115,Manhattan,Upper-Manhattan,-,,,,,,,
10125,Manhattan,Upper-Manhattan,-,,,,,,,
10128,Manhattan,Upper-Manhattan,-,,,,,,,
10130,Manhattan,Upper-Manhattan,-,,,,,,,
10131,Manhattan,Upper-Manhattan,-,,,,,,,
10133,Manhattan,Upper-Manhattan,-,,,,,,,
10162,Manhattan,Upper-Manhattan,-,,,,,,,
12007,Northern New York,Other,Albany,,,,,,,
12009,Northern New York,Other,Albany,,,,,,,
12023,Northern New York,Other,Albany,,,,,,,
12041,Northern New York,Other,Albany,,,,,,,
12045,Northern New York,Other,Albany,,,,,,,
12046,Northern New York,Other,Albany,,,,,,,
12047,Northern New York,Other,Albany,,,,,,,
12054,Northern New York,Other,Albany,,,,,,,
12055,Northern New York,Other,Albany,,,,,,,
12059,Northern New York,Other,Albany,,,,,,,
12067,Northern New York,Other,Albany,,,,,,,
12077,Northern New York,Other,Albany,,,,,,,
12084,Northern New York,Other,Albany,,,,,,,
12085,Northern New York,Other,Albany,,,,,,,
12107,Northern New York,Other,Albany,,,,,,,
12110,Northern New York,Other,Albany,,,,,,,
12120,Northern New York,Other,Albany,,,,,,,
12128,Northern New York,Other,Albany,,,,,,,
12143,Northern New York,Other,Albany,,,,,,,
12147,Northern New York,Other,Albany,,,,,,,
12158,Northern New York,Other,Albany,,,,,,,
12159,Northern New York,Other,Albany,,,,,,,
12161,Northern New York,Other,Albany,,,,,,,
12183,Northern New York,Other,Albany,,,,,,,
12186,Northern New York,Other,Albany,,,,,,,
12189,Northern New York,Other,Albany,,,,,,,
12193,Northern New York,Other,Albany,,,,,,,
12201,Northern New York,Other,Albany,,,,,,,
12202,Northern New York,Other,Albany,,,,,,,
12203,Northern New York,Other,Albany,,,,,,,
12204,Northern New York,Other,Albany,,,,,,,
12205,Northern New York,Other,Albany,,,,,,,
12206,Northern New York,Other,Albany,,,,,,,
12207,Northern New York,Other,Albany,,,,,,,
12208,Northern New York,Other,Albany,,,,,,,
12209,Northern New York,Other,Albany,,,,,,,
12210,Northern New York,Other,Albany,,,,,,,
12211,Northern New York,Other,Albany,,,,,,,
12212,Northern New York,Other,Albany,,,,,,,
12214,Northern New York,Other,Albany,,,,,,,
12220,Northern New York,Other,Albany,,,,,,,
12222,Northern New York,Other,Albany,,,,,,,
12223,Northern New York,Other,Albany,,,,,,,
12224,Northern New York,Other,Albany,,,,,,,
12225,Northern New York,Other,Albany,,,,,,,
12226,Northern New York,Other,Albany,,,,,,,
12227,Northern New York,Other,Albany,,,,,,,
12228,Northern New York,Other,Albany,,,,,,,
12229,Northern New York,Other,Albany,,,,,,,
12230,Northern New York,Other,Albany,,,,,,,
12231,Northern New York,Other,Albany,,,,,,,
12232,Northern New York,Other,Albany,,,,,,,
12233,Northern New York,Other,Albany,,,,,,,
12234,Northern New York,Other,Albany,,,,,,,
12235,Northern New York,Other,Albany,,,,,,,
12236,Northern New York,Other,Albany,,,,,,,
12237,Northern New York,Other,Albany,,,,,,,
12238,Northern New York,Other,Albany,,,,,,,
12239,Northern New York,Other,Albany,,,,,,,
12240,Northern New York,Other,Albany,,,,,,,
12241,Northern New York,Other,Albany,,,,,,,
12242,Northern New York,Other,Albany,,,,,,,
12243,Northern New York,Other,Albany,,,,,,,
12244,Northern New York,Other,Albany,,,,,,,
12245,Northern New York,Other,Albany,,,,,,,
12246,Northern New York,Other,Albany,,,,,,,
12247,Northern New York,Other,Albany,,,,,,,
12248,Northern New York,Other,Albany,,,,,,,
12249,Northern New York,Other,Albany,,,,,,,
